ISO code,Language Name
adh,Dhopadhola
af,Afrikaans
alz,Alur
am,Amharic
anu,Anywak
bxk,Lubukusu
cce,Cicopi
de,German
dag,Dagbani/Dagbanli
dga,Dagaare
dje,Zarma
ee,Ewe
en,English
ff,Fulfulde
fr,French
gjn,Gonja
gur,Gurene
guz,Ekegusii
ha,Hausa
kam,Kikamba
kdj,Ngakarimojong
keo,Kakwa
ki,Gikuyu
kln,Kalenjin
kpz,Sabinyi
kr,Kanuri
laj,Leblango
lgg,Lugbarati
lgg-official,Lugbarati (Official)
lg,Luganda
lko,Olukhayo
lsm,Lusamia
luc,Aringati
luo,Dholuo
lwg,Oluwanga
mas,Maa
mer,Kimîîru
mhi,Ma'di
myx,Lumasaaba
nle,Olunyala
nr,isiNdebele
nso,Sepedi
nuj,Lunyole
nyn,Chichewa
nyn,Runyankore
nyu,Chinyungwe
om,Afan Oromo
pt,Portuguese
rw,Kinyarwanda
so,Somali
ss,siSwati
st,Sesotho
sw,Kiswahili
teo,Ateso
tn,Setswana
toh,Gitonga
tsc,Xitswa
ts,Xitsonga
ttj,Rutooro
tuv,Ng'aturkana
ve,Tshivenda
xh,isiXhosa
xog,Lusoga
yo,Yoruba
zne,Zande
zu,isiZulu
