rowid,clue,answer,definition,clue_number,puzzle_date,puzzle_name,source_url,source
577430,"They might sing gospel soon - it is fantastic (5,7)",STOOLPIGEONS,,1a,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577431,Brightest leader in backwater beyond Rainier? (9),BRAINIEST,,9a,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577432,Semi-freeze on ozone-depleting gas (5),FREON,,10a,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577433,I'd say we trashed the area adjacent to a road (7),WAYSIDE,,11a,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577434,Rock band Nirvana's outside chasing fat guy on the roof? (7),SANTANA,,12a,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577435,"Perception of hotel grounds, according to reports (7)",INSIGHT,,13a,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577436,"Boxer grabs front of the leg, pressing (7)",PUSHING,,15a,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577437,Rejoiced in ode girl translated (7),GLORIED,,16a,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577438,Snappy comeback from spite or hurt (7),RIPOSTE,,18a,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577439,Most flexible article carried in catalog (7),LITHEST,,20a,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577440,Captive's ID hidden in socks (7),HOSTAGE,,22a,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577441,"Dorothy's aunt announced view: ""Johnny Carson was a great one"" (5)",EMCEE,,24a,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577442,"Investigate refusal before naval battle (4,5)",NOSEABOUT,,25a,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577443,"""Carrie's Ghost"" worked like a Horatio Alger tale (4-2-6)",RAGSTORICHES,,26a,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577444,True blue comic book detective (5),TRACY,,2d,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
577445,Zoo in Kingston suppresses animal sounds (7),OINKING,,3d,,"NY Times, Sunday, September 6, 2009 Cryptic Crossword",nytimes/C Sep0609.2.puz,nytimes
